dim_browser,dim_deviceCategory,dim_date,sessions,transactions,QTY
Android Webview,mobile,7/8/12,612,6,7
Amazon Silk,tablet,7/8/12,56,0,0
Android Browser,mobile,7/8/12,37,0,0
Amazon Silk,mobile,7/8/12,13,0,0
error,desktop,7/8/12,9,0,0
Opera Mini,mobile,7/8/12,5,0,0
Opera,mobile,7/8/12,4,0,0
(not set),tablet,7/8/12,2,0,0
Firefox,tablet,7/8/12,1,0,0
SeaMonkey,desktop,7/8/12,1,0,0
Maxthon,desktop,7/8/12,0,0,0
Maxthon,tablet,7/8/12,0,0,0
YaBrowser,desktop,7/8/12,0,0,0
Safari,mobile,7/9/12,37927,209,360
Safari,tablet,7/9/12,6486,99,180
Chrome,mobile,7/9/12,2717,29,55
Firefox,desktop,7/9/12,2011,68,119
Safari (in-app),tablet,7/9/12,1881,8,15
Internet Explorer,desktop,7/9/12,891,19,2
Android Webview,mobile,7/9/12,416,1,2
Amazon Silk,tablet,7/9/12,149,10,14
Internet Explorer,mobile,7/9/12,46,0,0
Firefox,mobile,7/9/12,33,0,0
error,desktop,7/9/12,9,0,0
UC Browser,mobile,7/9/12,4,0,0
Edge,mobile,7/9/12,3,0,0
Maxthon,desktop,7/9/12,3,0,0
Mozilla,desktop,7/9/12,2,0,0
YaBrowser,desktop,7/9/12,1,0,0
BrowserNG,mobile,7/9/12,0,0,0
Puffin,mobile,7/9/12,0,0,0
Edge,desktop,7/10/12,2331,77,125
Safari,desktop,7/10/12,1930,39,113
Chrome,mobile,7/10/12,1252,18,30
Internet Explorer,desktop,7/10/12,844,29,0
Android Webview,mobile,7/10/12,425,0,0
Samsung Internet,mobile,7/10/12,320,0,0
Chrome,tablet,7/10/12,308,5,9
Safari (in-app),tablet,7/10/12,263,1,1
Amazon Silk,tablet,7/10/12,77,1,0
Firefox,mobile,7/10/12,20,1,1
Internet Explorer,tablet,7/10/12,14,0,0
Opera,desktop,7/10/12,12,0,0
BlackBerry,mobile,7/10/12,7,0,0
Edge,mobile,7/10/12,7,0,0
SeaMonkey,desktop,7/10/12,7,0,0
error,desktop,7/10/12,5,0,0
YaBrowser,tablet,7/10/12,3,0,0
Amazon Silk,mobile,7/10/12,2,0,0
Maxthon,desktop,7/10/12,2,0,0
(not set),mobile,7/10/12,1,0,0
Android Browser,tablet,7/10/12,1,0,0
Mozilla,desktop,7/10/12,0,0,0
Puffin,mobile,7/10/12,0,0,0
Chrome,desktop,7/11/12,14087,355,631
Safari,mobile,7/11/12,10392,41,90
Safari,desktop,7/11/12,3190,148,312
Firefox,desktop,7/11/12,1588,50,100
Chrome,mobile,7/11/12,1418,9,10
Safari (in-app),mobile,7/11/12,475,0,1
Internet Explorer,tablet,7/11/12,175,11,0
Amazon Silk,tablet,7/11/12,38,3,3
Internet Explorer,mobile,7/11/12,22,0,0
Samsung Internet,tablet,7/11/12,17,0,0
BlackBerry,mobile,7/11/12,14,0,0
error,desktop,7/11/12,8,0,0
UC Browser,mobile,7/11/12,3,0,0
Android Browser,mobile,7/11/12,1,0,0
anonymous,desktop,7/11/12,1,0,0
Edge,mobile,7/11/12,1,0,0
osee2unifiedRelease,mobile,7/11/12,1,0,0
Edge,tablet,7/11/12,0,0,0
Maxthon,desktop,7/11/12,0,0,0
Safari,mobile,7/12/12,7650,111,193
Firefox,desktop,7/12/12,2401,47,87
Safari,desktop,7/12/12,1962,55,162
Internet Explorer,desktop,7/12/12,1692,65,0
Chrome,mobile,7/12/12,842,5,11
Chrome,tablet,7/12/12,503,12,30
Safari (in-app),mobile,7/12/12,292,4,5
Samsung Internet,mobile,7/12/12,204,0,3
Internet Explorer,mobile,7/12/12,158,0,0
Android Browser,tablet,7/12/12,24,0,0
Firefox,mobile,7/12/12,12,1,6
Android Webview,tablet,7/12/12,9,0,0
Opera,desktop,7/12/12,8,0,1
error,desktop,7/12/12,5,0,0
SeaMonkey,desktop,7/12/12,3,0,0
Edge,mobile,7/12/12,1,0,0
Maxthon,desktop,7/12/12,1,0,0
YaBrowser,desktop,7/12/12,1,0,0
Edge,tablet,7/12/12,0,0,0
Firefox,tablet,7/12/12,0,0,0
Safari,mobile,7/13/12,19507,265,386
Safari,tablet,7/13/12,8880,270,504
Safari,desktop,7/13/12,5165,200,444
Chrome,desktop,7/13/12,4352,122,211
Internet Explorer,desktop,7/13/12,1521,42,72
Safari (in-app),mobile,7/13/12,1475,0,1
Chrome,tablet,7/13/12,523,0,3
Android Webview,mobile,7/13/12,468,0,0
Amazon Silk,tablet,7/13/12,310,10,13
Internet Explorer,tablet,7/13/12,61,0,0
Android Webview,tablet,7/13/12,57,0,0
Firefox,mobile,7/13/12,15,0,2
Samsung Internet,tablet,7/13/12,15,1,0
error,desktop,7/13/12,7,0,0
Android Browser,tablet,7/13/12,5,0,0
Edge,mobile,7/13/12,4,0,0
SeaMonkey,desktop,7/13/12,3,1,1
Maxthon,desktop,7/13/12,2,0,0
Opera,desktop,7/13/12,2,0,0
osee2unifiedRelease,mobile,7/13/12,1,0,0
Android Browser,mobile,7/13/12,0,0,0
Safari,tablet,7/14/12,5599,88,220
Safari (in-app),mobile,7/14/12,2292,17,24
Safari (in-app),tablet,7/14/12,1018,2,1
Internet Explorer,desktop,7/14/12,826,30,0
Amazon Silk,tablet,7/14/12,602,10,11
error,desktop,7/14/12,8,0,0
Android Webview,tablet,7/14/12,7,0,0
Opera Mini,mobile,7/14/12,6,0,0
Edge,mobile,7/14/12,5,0,0
SeaMonkey,desktop,7/14/12,4,1,1
BlackBerry,mobile,7/14/12,3,0,0
Android Browser,tablet,7/14/12,2,0,0
Iron,mobile,7/14/12,2,0,0
Android Browser,mobile,7/14/12,1,0,0
Chrome,desktop,7/15/12,15180,769,1454
Safari,tablet,7/15/12,5226,96,159
Safari,desktop,7/15/12,3006,191,335
Edge,desktop,7/15/12,1303,27,58
Safari (in-app),mobile,7/15/12,736,0,0
Chrome,tablet,7/15/12,630,7,8
Samsung Internet,mobile,7/15/12,150,2,2
Amazon Silk,tablet,7/15/12,125,6,8
Android Browser,mobile,7/15/12,65,0,0
Opera,desktop,7/15/12,37,1,2
Android Webview,tablet,7/15/12,9,0,0
Amazon Silk,mobile,7/15/12,6,0,0
error,desktop,7/15/12,6,0,0
Firefox,tablet,7/15/12,6,0,0
BlackBerry,mobile,7/15/12,4,0,0
Internet Explorer,mobile,7/15/12,2,0,0
Opera,tablet,7/15/12,2,0,0
Edge,tablet,7/15/12,1,0,0
SeaMonkey,desktop,7/15/12,1,0,0
DDG-Android-3.0.14,desktop,7/15/12,0,0,0
Mozilla Compatible Agent,desktop,7/15/12,0,0,0
Opera Mini,mobile,7/15/12,0,0,0
Safari,mobile,7/16/12,8804,101,133
Safari,tablet,7/16/12,7276,296,564
Safari,desktop,7/16/12,5965,228,505
Firefox,desktop,7/16/12,4770,369,590
Chrome,desktop,7/16/12,3320,73,121
Safari (in-app),mobile,7/16/12,3220,16,60
Chrome,mobile,7/16/12,680,3,4
Edge,desktop,7/16/12,474,27,41
Samsung Internet,mobile,7/16/12,431,2,1
Amazon Silk,tablet,7/16/12,185,0,0
Firefox,mobile,7/16/12,65,4,9
Android Browser,mobile,7/16/12,40,0,0
BlackBerry,mobile,7/16/12,16,0,0
Android Browser,tablet,7/16/12,11,0,0
Amazon Silk,mobile,7/16/12,6,1,1
Opera,desktop,7/16/12,6,0,0
error,desktop,7/16/12,3,0,0
Firefox,tablet,7/16/12,1,0,0
SeaMonkey,desktop,7/16/12,1,0,0
Chrome,mobile,7/17/12,5224,14,10
Safari,mobile,7/17/12,3255,0,0
Firefox,desktop,7/17/12,1383,20,35
Internet Explorer,desktop,7/17/12,958,32,0
Safari (in-app),mobile,7/17/12,943,3,12
Chrome,tablet,7/17/12,615,10,38
Samsung Internet,tablet,7/17/12,43,5,0
Firefox,mobile,7/17/12,34,0,0
Edge,mobile,7/17/12,17,0,0
Opera,desktop,7/17/12,17,0,1
BlackBerry,mobile,7/17/12,14,0,0
Internet Explorer,mobile,7/17/12,5,0,0
error,desktop,7/17/12,4,0,0
Opera Mini,mobile,7/17/12,4,0,0
Android Browser,mobile,7/17/12,1,0,0
Firefox,tablet,7/17/12,0,0,0
Chrome,desktop,7/18/12,11905,479,880
Safari,desktop,7/18/12,4496,144,292
Chrome,mobile,7/18/12,3615,71,132
Internet Explorer,desktop,7/18/12,2482,75,1
Android Webview,mobile,7/18/12,897,0,2
Safari (in-app),mobile,7/18/12,616,0,0
Safari (in-app),tablet,7/18/12,377,1,1
Edge,desktop,7/18/12,369,3,0
Amazon Silk,tablet,7/18/12,54,2,2
DESKTOP,desktop,7/18/12,35,0,0
Internet Explorer,tablet,7/18/12,12,0,0
error,desktop,7/18/12,10,0,0
Opera Mini,mobile,7/18/12,9,0,0
Android Browser,tablet,7/18/12,5,0,0
Edge,mobile,7/18/12,5,0,0
Edge,tablet,7/18/12,3,0,0
Maxthon,desktop,7/18/12,3,0,0
Mozilla,desktop,7/18/12,3,0,0
osee2unifiedRelease,mobile,7/18/12,3,0,0
FeeddlerPro,tablet,7/18/12,2,0,0
(not set),tablet,7/18/12,0,0,0
Safari,mobile,7/19/12,9608,185,388
Chrome,desktop,7/19/12,7651,219,325
Safari,desktop,7/19/12,3575,116,165
Chrome,mobile,7/19/12,1285,8,25
Safari (in-app),mobile,7/19/12,1236,13,10
Android Webview,mobile,7/19/12,579,2,4
Internet Explorer,tablet,7/19/12,276,10,23
Edge,desktop,7/19/12,203,5,8
Safari (in-app),tablet,7/19/12,136,0,0
Firefox,mobile,7/19/12,49,1,2
Amazon Silk,tablet,7/19/12,44,1,1
Opera,desktop,7/19/12,27,0,0
DESKTOP,desktop,7/19/12,20,0,0
Samsung Internet,tablet,7/19/12,12,0,0
Android Browser,mobile,7/19/12,6,0,0
error,desktop,7/19/12,4,0,0
Opera,mobile,7/19/12,3,0,0
(not set),mobile,7/19/12,1,0,0
BlackBerry,tablet,7/19/12,1,0,0
UC Browser,mobile,7/19/12,0,0,0
Safari,mobile,7/20/12,4639,84,125
Firefox,desktop,7/20/12,3530,80,191
Safari,tablet,7/20/12,2568,98,187
Internet Explorer,desktop,7/20/12,1821,80,0
Chrome,mobile,7/20/12,1071,11,13
Chrome,tablet,7/20/12,495,10,13
Safari (in-app),mobile,7/20/12,232,1,2
Android Webview,mobile,7/20/12,112,2,0
Amazon Silk,tablet,7/20/12,72,0,0
Samsung Internet,tablet,7/20/12,56,0,0
Opera,desktop,7/20/12,40,0,2
BlackBerry,mobile,7/20/12,11,0,0
Edge,tablet,7/20/12,6,0,0
error,desktop,7/20/12,4,0,0
SonyEricssonK700c,mobile,7/20/12,1,0,0
YaBrowser,desktop,7/20/12,1,1,1
Chrome,desktop,7/21/12,8102,378,744
Safari,desktop,7/21/12,2496,107,164
Safari (in-app),mobile,7/21/12,1460,21,22
Chrome,mobile,7/21/12,767,7,16
Android Webview,mobile,7/21/12,653,0,0
Internet Explorer,desktop,7/21/12,586,24,6
Safari (in-app),tablet,7/21/12,317,1,3
Chrome,tablet,7/21/12,234,3,4
Internet Explorer,tablet,7/21/12,174,4,0
Samsung Internet,mobile,7/21/12,167,0,0
Samsung Internet,tablet,7/21/12,40,0,0
Android Webview,tablet,7/21/12,24,0,0
Opera,desktop,7/21/12,23,5,3
Android Browser,mobile,7/21/12,6,0,0
Android Browser,tablet,7/21/12,6,0,0
BlackBerry,mobile,7/21/12,5,0,0
Opera Mini,mobile,7/21/12,5,0,0
UC Browser,mobile,7/21/12,5,0,0
error,desktop,7/21/12,4,0,0
Amazon Silk,mobile,7/21/12,2,0,0
Edge,mobile,7/21/12,2,0,0
Safari,tablet,7/22/12,2686,68,80
Safari,desktop,7/22/12,1926,59,98
Chrome,tablet,7/22/12,272,5,3
Firefox,mobile,7/22/12,45,0,0
Internet Explorer,tablet,7/22/12,14,0,0
Opera,desktop,7/22/12,11,0,0
BlackBerry,mobile,7/22/12,10,0,0
error,desktop,7/22/12,7,0,0
Internet Explorer,mobile,7/22/12,7,0,0
SeaMonkey,desktop,7/22/12,4,0,0
Edge,tablet,7/22/12,1,0,0
Opera,tablet,7/22/12,1,0,0
Opera Mini,mobile,7/22/12,1,0,0
Samsung Internet,desktop,7/22/12,1,0,0
UC Browser,mobile,7/22/12,1,0,0
Firefox,tablet,7/22/12,0,0,0
Mozilla Compatible Agent,desktop,7/22/12,0,0,0
YaBrowser,desktop,7/22/12,0,0,0
Safari,tablet,7/23/12,13187,1148,2009
Firefox,desktop,7/23/12,3189,90,139
Chrome,mobile,7/23/12,1993,28,45
Internet Explorer,desktop,7/23/12,594,29,0
Safari (in-app),tablet,7/23/12,354,4,1
Chrome,tablet,7/23/12,346,14,31
Amazon Silk,tablet,7/23/12,285,4,7
Internet Explorer,tablet,7/23/12,206,12,0
Samsung Internet,mobile,7/23/12,147,2,3
Samsung Internet,tablet,7/23/12,27,0,0
error,desktop,7/23/12,16,0,0
Android Webview,tablet,7/23/12,9,0,0
SeaMonkey,desktop,7/23/12,9,1,7
Amazon Silk,mobile,7/23/12,5,0,2
Firefox,mobile,7/23/12,5,0,0
Opera,mobile,7/23/12,4,0,0
Android Browser,mobile,7/23/12,2,0,0
UC Browser,mobile,7/23/12,2,0,0
Puffin,desktop,7/23/12,1,0,0
TimesTablet,tablet,7/23/12,0,0,0
Safari,tablet,7/24/12,2307,47,122
Chrome,mobile,7/24/12,1009,14,18
Safari (in-app),mobile,7/24/12,858,3,21
Chrome,tablet,7/24/12,606,8,15
Safari (in-app),tablet,7/24/12,480,0,0
Samsung Internet,mobile,7/24/12,274,0,7
Android Webview,mobile,7/24/12,254,0,0
Internet Explorer,tablet,7/24/12,238,15,0
Internet Explorer,mobile,7/24/12,15,0,0
Firefox,mobile,7/24/12,14,0,0
error,desktop,7/24/12,8,0,0
BlackBerry,mobile,7/24/12,6,0,0
Opera,mobile,7/24/12,6,0,0
(not set),mobile,7/24/12,4,0,0
Edge,mobile,7/24/12,3,1,0
Opera,tablet,7/24/12,1,0,0
Safari,tablet,7/25/12,19688,428,811
Safari,mobile,7/25/12,3413,62,78
Safari,desktop,7/25/12,2323,67,142
Safari (in-app),mobile,7/25/12,1691,1,6
Android Webview,mobile,7/25/12,561,0,1
BlackBerry,mobile,7/25/12,28,0,0
Samsung Internet,tablet,7/25/12,25,0,0
Amazon Silk,mobile,7/25/12,14,0,0
error,desktop,7/25/12,11,0,0
Internet Explorer,mobile,7/25/12,4,0,0
SeaMonkey,desktop,7/25/12,4,0,0
Coc Coc,desktop,7/25/12,1,0,0
Opera,mobile,7/25/12,1,0,0
osee2unifiedRelease,mobile,7/25/12,1,0,0
Puffin,desktop,7/25/12,1,0,0
Edge,tablet,7/25/12,0,0,0
Opera Mini,mobile,7/25/12,0,0,0
Safari,mobile,7/26/12,11040,87,176
Safari,desktop,7/26/12,5426,225,405
Safari,tablet,7/26/12,2527,50,97
Edge,desktop,7/26/12,874,35,55
Firefox,desktop,7/26/12,769,30,66
Safari (in-app),tablet,7/26/12,336,1,0
Chrome,tablet,7/26/12,187,6,5
Amazon Silk,tablet,7/26/12,76,0,0
Opera,desktop,7/26/12,53,3,5
Samsung Internet,tablet,7/26/12,30,0,0
SeaMonkey,desktop,7/26/12,14,0,0
BlackBerry,mobile,7/26/12,10,0,0
Android Browser,mobile,7/26/12,8,0,0
error,desktop,7/26/12,7,0,0
Android Browser,tablet,7/26/12,5,0,0
Opera,mobile,7/26/12,3,0,0
UC Browser,mobile,7/26/12,3,0,0
YaBrowser,desktop,7/26/12,3,0,0
Internet Explorer,mobile,7/26/12,2,0,0
Opera,tablet,7/26/12,2,0,0
UC Browser,tablet,7/26/12,2,0,0
Firefox,tablet,7/26/12,1,0,0
Safari,desktop,7/27/12,11368,551,1066
Safari (in-app),mobile,7/27/12,2312,12,19
Edge,desktop,7/27/12,1547,25,44
Safari (in-app),tablet,7/27/12,1152,13,29
Samsung Internet,mobile,7/27/12,582,1,8
Internet Explorer,tablet,7/27/12,551,29,12
Chrome,tablet,7/27/12,412,15,33
Android Webview,mobile,7/27/12,190,0,0
Amazon Silk,tablet,7/27/12,70,2,6
Opera,desktop,7/27/12,30,0,0
Edge,mobile,7/27/12,7,0,0
error,desktop,7/27/12,3,0,0
Mozilla,desktop,7/27/12,3,0,0
Opera,mobile,7/27/12,3,0,1
Opera,tablet,7/27/12,2,0,0
SeaMonkey,desktop,7/27/12,2,0,0
osee2unifiedRelease,mobile,7/27/12,1,0,0
Amazon Silk,desktop,7/27/12,0,0,0
Chrome,desktop,7/28/12,3921,116,260
Safari,mobile,7/28/12,3140,40,62
Firefox,desktop,7/28/12,1620,31,61
Safari (in-app),tablet,7/28/12,1227,12,20
Edge,desktop,7/28/12,964,10,19
Internet Explorer,desktop,7/28/12,947,27,44
Safari (in-app),mobile,7/28/12,725,4,3
Chrome,mobile,7/28/12,626,4,10
Android Webview,mobile,7/28/12,580,0,0
Internet Explorer,tablet,7/28/12,345,11,0
Amazon Silk,tablet,7/28/12,164,1,4
Internet Explorer,mobile,7/28/12,74,3,17
BlackBerry,mobile,7/28/12,25,0,0
error,desktop,7/28/12,6,0,0
Android Browser,mobile,7/28/12,5,0,0
Edge,tablet,7/28/12,3,0,0
Mozilla,desktop,7/28/12,2,0,0
Maxthon,desktop,7/28/12,1,0,0
Opera Mini,mobile,7/28/12,0,0,0
Chrome,desktop,7/29/12,8919,253,545
Safari,desktop,7/29/12,6879,184,331
Edge,desktop,7/29/12,2873,28,35
Firefox,desktop,7/29/12,1362,40,72
Chrome,mobile,7/29/12,877,19,36
Safari (in-app),tablet,7/29/12,490,7,8
Android Webview,mobile,7/29/12,295,3,3
Chrome,tablet,7/29/12,217,1,1
Amazon Silk,tablet,7/29/12,82,0,0
Internet Explorer,tablet,7/29/12,51,2,0
Samsung Internet,tablet,7/29/12,26,0,0
Android Browser,tablet,7/29/12,8,0,0
SeaMonkey,desktop,7/29/12,5,0,2
YaBrowser,desktop,7/29/12,5,0,0
error,desktop,7/29/12,4,0,0
Android Browser,mobile,7/29/12,1,0,0
Edge,mobile,7/29/12,1,0,0
Maxthon,desktop,7/29/12,1,0,0
Opera Mini,mobile,7/29/12,1,0,0
Coc Coc,desktop,7/29/12,0,0,0
Puffin,desktop,7/29/12,0,0,0
Safari,tablet,7/30/12,4499,106,197
Chrome,desktop,7/30/12,4483,202,345
Internet Explorer,desktop,7/30/12,2169,76,119
Firefox,desktop,7/30/12,2038,55,84
Chrome,mobile,7/30/12,1733,12,33
Safari (in-app),mobile,7/30/12,871,1,3
Samsung Internet,mobile,7/30/12,263,3,1
Android Webview,mobile,7/30/12,182,1,3
Opera,desktop,7/30/12,53,2,0
Android Browser,mobile,7/30/12,43,0,0
error,desktop,7/30/12,6,0,0
Opera Mini,mobile,7/30/12,4,0,0
Opera,mobile,7/30/12,3,0,0
Internet Explorer,mobile,7/30/12,2,0,0
Safari (in-app),desktop,7/30/12,2,0,0
(not set),tablet,7/30/12,1,0,0
Edge,mobile,7/30/12,1,0,0
DDG-Android-3.1.1,desktop,7/30/12,0,0,0
Puffin,mobile,7/30/12,0,0,0
Safari,mobile,7/31/12,18021,162,372
Safari,desktop,7/31/12,5910,297,597
Safari,tablet,7/31/12,2418,48,80
Edge,desktop,7/31/12,1047,22,33
Safari (in-app),tablet,7/31/12,886,9,7
Android Webview,mobile,7/31/12,592,0,0
Chrome,tablet,7/31/12,227,4,8
Safari (in-app),mobile,7/31/12,167,0,0
Internet Explorer,tablet,7/31/12,81,3,2
Amazon Silk,tablet,7/31/12,80,0,0
Firefox,mobile,7/31/12,13,0,0
Samsung Internet,tablet,7/31/12,7,0,0
SeaMonkey,desktop,7/31/12,6,0,0
Edge,tablet,7/31/12,2,0,0
error,desktop,7/31/12,2,0,0
Firefox,tablet,7/31/12,2,0,0
Opera,mobile,7/31/12,2,0,0
Edge,mobile,7/31/12,1,0,0
Maxthon,desktop,7/31/12,1,0,0
Mozilla Compatible Agent,desktop,7/31/12,0,0,0
osee2unifiedRelease,mobile,7/31/12,0,0,0
Safari,mobile,8/1/12,4093,27,77
Chrome,desktop,8/1/12,3809,103,177
Safari,desktop,8/1/12,2333,104,205
Internet Explorer,desktop,8/1/12,2285,38,24
Chrome,mobile,8/1/12,2008,17,11
Firefox,desktop,8/1/12,707,14,31
Safari (in-app),mobile,8/1/12,630,3,1
Android Webview,mobile,8/1/12,328,1,1
Chrome,tablet,8/1/12,256,0,14
Firefox,mobile,8/1/12,38,3,1
Samsung Internet,tablet,8/1/12,31,0,0
Internet Explorer,mobile,8/1/12,27,0,0
error,desktop,8/1/12,7,0,0
Android Browser,mobile,8/1/12,6,0,0
Opera,desktop,8/1/12,4,0,0
Android Browser,tablet,8/1/12,2,0,0
Edge,mobile,8/1/12,2,0,0
UC Browser,desktop,8/1/12,1,0,0
(not set),mobile,8/1/12,0,0,0
YaBrowser,desktop,8/1/12,0,0,0
Safari,tablet,8/2/12,15766,343,653
Safari,mobile,8/2/12,9085,75,147
Chrome,desktop,8/2/12,6522,146,247
Safari,desktop,8/2/12,3976,136,214
Chrome,mobile,8/2/12,1175,11,41
Edge,desktop,8/2/12,877,67,76
Samsung Internet,mobile,8/2/12,726,9,20
Firefox,desktop,8/2/12,705,22,37
Chrome,tablet,8/2/12,696,5,13
Internet Explorer,tablet,8/2/12,311,9,5
Android Webview,mobile,8/2/12,219,5,0
Amazon Silk,tablet,8/2/12,129,2,1
Samsung Internet,tablet,8/2/12,12,0,0
error,desktop,8/2/12,5,0,0
Maxthon,desktop,8/2/12,2,0,0
Coc Coc,desktop,8/2/12,0,0,0
UC Browser,mobile,8/2/12,0,0,0
Safari,desktop,8/3/12,6610,372,595
Chrome,desktop,8/3/12,3063,56,115
Safari (in-app),mobile,8/3/12,1661,12,16
Edge,desktop,8/3/12,1182,25,36
Firefox,desktop,8/3/12,1101,35,75
Android Webview,mobile,8/3/12,810,0,0
Internet Explorer,tablet,8/3/12,255,13,0
Samsung Internet,mobile,8/3/12,246,0,0
Amazon Silk,tablet,8/3/12,161,4,6
Opera,desktop,8/3/12,39,2,3
BlackBerry,mobile,8/3/12,6,0,0
